,Player,DPI,Mouse Sens,Cam Sens,Resolution,Mouse,Mousepad,Keyboard,Headset,Monitor
0,Kiin,,,,,Abko A660 3360,ENISH Afreeca Freecs Gaming Mouse Pad,Logitech G512,ABKO Hacker B380V,
1,Cuzz,,,,,Logitech G Pro Herp,Razer Goliathus Speed,Logitech G913 TKL,,
2,Bdd,,,,1920x1080,Logitech G903 HERO,Logitech G640,Logitech G Pro X Keyboard,ASTRO A50,ASUS ROG SWIFT PG258Q
3,Aiming,,,,,Logitech G903 HERO,Cosair MM700 RGB,Logitech G512,,
4,Lehends,,,,,Logitech G PRO WIRELESS,Cougar Arena XL,Corsair K68,,
5,Rascal,,,,1920x1080,Logitech G903,Logitech G640,,ASTRO A50,ASUS ROG SWIFT PG258Q
6,Juhan,,,,,,,,,
7,FATE,,,,,Logitech G Pro X,Logitech Powerfly,Logitech G Pro X Keyboard,,
8,deokdam,,,,,Logitech G Pro WIRELESS,Logitech G640,Logitech G Pro X Keyboard,,
9,BeryL,,,,,Logitech G403 HERO,,Logitech G512,,
10,Zeus,,,,,Razer Deathadder V2 PRo,Razer Gigantus V2 XXL,Corsair K70 TKL,,
11,Oner,,,,,Logitech G Pro WIRELESS,Logitech G640,Logitech G Pro X Keyboard,,
12,Faker,1600,65,65,1920x1080,Razer Deathadder V2 Pro,Razer Goliathus Control,Logitech G Pro X Keyboard,Logitech G Pro X Headset,ASUS TUF VG279QM
13,Gumayusi,,,,,Razer Deathadder Elite,Logitech G840,Logitech G Pro X Keyboard,,
14,Keria,,,,,Logitech G PRO WIRELESS,Razer Goliathus Speed,Corsair K70 MK2 RGB,,
15,DnDn,,,,,Steelseries Aerox 3 WIRELESS,Steelseries QCK,Steelseries Apex PRO,,
16,Sylvie,,,,,Logitech G403,Steelseries QCK,Steelseries Apex PRO,,
17,Callme,,,,,,,,,
18,Vital,,,,,Razer Basilisk Ultimate,Artisan pad,Steelseries Apex PRO,,
19,Peter,,,,,Logitech G Pro X,Steelseries QCK 2XL,Steelseries Apex PRO,,
20,Doran,,,,,Logitech G Pro X,Corsair MM300,Corsair K68,,
21,Peanut,,,,,Razer Viper,Razer Goliathus Speed,Logitech G Pro X Keyboard,,
22,Chovy,,,,,Logitech G Pro WIRELESS,Artisan pad,Corsair K70 MK2 SE,,
23,Peyz,,,,,Logitech G Pro WIRELESS,Roccat Sense Immortal,Logitech G Pro X Keyboard,,
24,Delight,,,,,Logitech G Pro WIRELESS,Logitech G640,Logitech G Pro X Keyboard,,
25,Canna,,,,,Logitech G Pro,Steelseries QCK,Varmilo VA108,,
26,Canyon,,,,1920x1080,Logitech G Pro,,Logitech G512,ASTRO A50,ASUS TUF VG259QM
27,ShowMaker,,,,,Logitech G Pro,Logitech G840,Logitech G715,,
28,Deft,,,,,Logitech G703,Logitech G840,Logitech G Pro X Keyboard,,
29,Kellin,,,,,Logitech G Pro,Logitech G840,Logitech G512,,
30,kingen,,,,,Logitech G703,Razer Gigantus,Razer Blackwidow Lite,,
31,Clid,,,,1920x1080,Logitech G903,Logitech G840,Logitech G512,ASTRO A50,ASUS ROG SWIFT PG258Q
32,Zeka,,,,,Logitech G Pro WIRELESS,Razer Gigantus XXL,Razer Blackwidow,,
33,Viper,,,,1920x1080,Razer Viper 8KHz,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro,
34,Life,,,,1920x1080,Logitech G903,Razer Gigantus V2,Razer Blackwidow V3,Razer BlackShark V2 Pro,ASUS ROG SWIFT PG258Q
35,Burdol,,,,,Logitech G Pro WIRELESS,Logitech G640,Razer Blackwidow,,
36,Willer,,,,,Razer Viper V2 PRO,Razer Gigantus V2 XXL,Razer Blackwidow V3,,
37,Clozer,,,,,Roccat Kone Pure Ultra,Logitech G840,Roccat Vulcan TKL PRO,,
38,Envyy,,,,,Logitech G Pro WIRELESS,Logitech G840,Logitech G610,,
39,Kael,,,,,Logitech G102,Logitech G640,Logitech G610,,
40,Morgan,,,,,Logitech G Pro X,Razer Gigantus V2,Logitech G610,,
41,UmTi,,,,,Logitech G903 HERO,Logitech G840,Logitech G Pro X Keyboard,,
42,Karis,,,,,Logitech G304,Razer Gigantus V2,Logitech G512,,
43,Hena,,,,,Logitech G Pro X,,Logitech G512,,
44,Effort,,,,,Razer Mamma Elite,Logitech G840,Logitech G610,,
45,DuDu,,,,,Logitech G Pro X,Razer Gigantus V2 XXL,Logitech G512,,
46,YoungJae,,,,,Logitech G Pro X,Logitech G840,Roccat Pyro RGB,,
47,Bulldog,,,,,Logitech G Pro Wireless,Razer Gigantus V2 XXL,Logitech G Pro X Keyboard,,
48,Taeyoon,,,,1920x1080,Logitech G Pro Wireless,Logitech G PowerPlay,Logitech G915 TKL,HyperX Cloud Flight S,HP X27i
49,Moham,,,,,Logitech G402,Razer Gigantus V2 XXL,Logitech G402,,
50,Pleata,,,,,,,,,
51,Croco,,,,,Logitech G304,Logitech G840,Logitech G Pro X Keyboard,,
52,FIESTA,,,,,Logitech G Pro X,Steelseries QCK 2XL,Steelseries Apex PRO,,
53,Jun,,,,,Logitech G Pro Wireless,Kingston HyperX FURRY SPEED,Logitech G512,,
54,Weizor,,,,,,,,,
55,de sidere,,,,,,,,,
56,CR0WN,,,,,,,,,
57,Lelouch,,,,,,,,,
58,Nightmares,,,,,,,,,
59,Jaguar,,,,,,,,,
60,QTKT,,,,,,,,,
61,Mettoe,,,,,,,,,
62,Mechanics,,,,,,,,,
63,2Trick,,,,,,,,,